"Currency Name","Price","Change","Change %","Market Cap","Volume","Circulating Supply","Timestamp"
"Synthetix USD","1.4565","-0.0429","-2.86%","477.382M","12.685M","327.769M","2024-10-13 13:14:30"
"ZKsync USD","0.128548","-0.006973","-5.15%","472.415M","45.909M","3.675B","2024-10-13 13:14:30"
"Raydium USD","1.7732","-0.0239","-1.33%","467.813M","9.188M","263.817M","2024-10-13 13:14:30"
"Trust Wallet Token USD","1.1141","-0.0149","-1.32%","464.18M","11.622M","416.65M","2024-10-13 13:14:30"
"Wrapped Pulse USD","0.000052","-0.000002","-2.92%","449.992M","8.431M","8.682T","2024-10-13 13:14:30"
"Gigachad USD","0.048141","-0.002809","-5.51%","447.828M","11.587M","9.302B","2024-10-13 13:14:30"
"Gnosis USD","172.59","-0.59","-0.34%","446.93M","2.284M","2.59M","2024-10-13 13:14:30"
"Astar USD","0.059723","-0.000636","-1.05%","439.48M","7.17M","7.359B","2024-10-13 13:14:31"
"Safe USD","0.945545","-0.003175","-0.33%","438.504M","3.571M","463.758M","2024-10-13 13:14:31"
"IOTA USD","0.125910","+0.001482","+1.19%","435.542M","7.83M","3.459B","2024-10-13 13:14:31"
"ApeCoin USD","0.719255","-0.015303","-2.08%","435.074M","35.314M","604.896M","2024-10-13 13:14:31"
"LayerZero USD","3.9346","-0.2792","-6.63%","432.801M","75.861M","110M","2024-10-13 13:14:31"
"Celo USD","0.784919","-0.029160","-3.58%","432.471M","57.644M","550.975M","2024-10-13 13:14:31"
"Livepeer USD","12.10","-0.41","-3.30%","424.794M","12.57M","35.112M","2024-10-13 13:14:31"
"XDC Network USD","0.028265","-0.000144","-0.51%","421.98M","2.482M","14.93B","2024-10-13 13:14:31"
"APENFT USD","0.00000042","-0.00000000","-0.77%","416.585M","13.368M","999.99T","2024-10-13 13:14:31"
"Theta Fuel USD","0.061029","-0.000955","-1.54%","409.565M","9.375M","6.711B","2024-10-13 13:14:31"
"DOGS USD","0.000771","-0.000016","-2.09%","398.5M","180.524M","516.75B","2024-10-13 13:14:31"
"ConstitutionDAO USD","0.078631","-0.000853","-1.07%","397.882M","79.728M","5.06B","2024-10-13 13:14:31"
"Coinbase Wrapped BTC USD","62,658.72","-301.66","-0.48%","390.255M","20.873M","6,228","2024-10-13 13:14:31"
"Arkham USD","1.7304","+0.0854","+5.19%","389.513M","121.098M","225.1M","2024-10-13 13:14:31"
"Compound USD","44.37","-0.98","-2.15%","389.777M","19.067M","8.785M","2024-10-13 13:14:31"
"Bitcoin Gold USD","21.97","-0.28","-1.26%","384.855M","1.217M","17.514M","2024-10-13 13:14:31"
"EthereumPoW USD","3.5416","-0.0094","-0.27%","381.855M","13.258M","107.819M","2024-10-13 13:14:31"
"GMT USD","0.130931","-0.002163","-1.63%","380.789M","15.252M","2.908B","2024-10-13 13:14:31"
"Ondo US Dollar Yield USD","1.0580","-0.0035","-0.33%","377.624M","250,536","356.925M","2024-10-13 13:14:31"
"IoTeX USD","0.039647","+0.000696","+1.79%","374.318M","9.135M","9.441B","2024-10-13 13:14:31"
"Osmosis USD","0.542445","-0.014789","-2.65%","373.168M","9.242M","687.937M","2024-10-13 13:14:31"
"Kava USD","0.341005","-0.009698","-2.77%","369.259M","12.722M","1.083B","2024-10-13 13:14:31"
"HarryPotterObamaSonic10Inu (ERC-20) USD","0.355324","+0.088646","+33.24%","355.253M","25.991M","999.798M","2024-10-13 13:14:32"
"Bitcoin Avalanche Bridged USD","62,690.30","-380.03","-0.60%","357.663M","15.651M","5,705","2024-10-13 13:14:32"
"Dymension USD","1.7060","+0.0481","+2.90%","355.855M","25.459M","208.588M","2024-10-13 13:14:32"
"Frax Staked Ether USD","2,708.90","+10.14","+0.38%","344.914M","52,252","127,326","2024-10-13 13:14:32"
"SafePal USD","0.707118","-0.008599","-1.20%","344.72M","2.799M","487.5M","2024-10-13 13:14:32"
"Reserve Rights USD","0.006599","-0.000197","-2.90%","343.162M","7.653M","52.002B","2024-10-13 13:14:32"
"Golem USD","0.330684","-0.010089","-2.96%","330.684M","8.287M","1B","2024-10-13 13:14:32"
"WEMIX USD","0.798893","-0.010362","-1.28%","328.952M","1.16M","411.76M","2024-10-13 13:14:32"
"1inch Network USD","0.257607","-0.003702","-1.42%","328.63M","12.099M","1.276B","2024-10-13 13:14:32"
"FLEX USD","3.2986","-0.0003","-0.01%","325.458M","1,138","98.665M","2024-10-13 13:14:32"
"Memecoin USD","0.011152","-0.000126","-1.12%","316.457M","70.684M","28.377B","2024-10-13 13:14:32"
"WOO USD","0.171472","-0.005772","-3.26%","313.728M","9.387M","1.83B","2024-10-13 13:14:32"
"Curve DAO Token USD","0.256431","-0.005017","-1.92%","309.345M","41.459M","1.206B","2024-10-13 13:14:32"
"Amp USD","0.003812","-0.000047","-1.22%","307.696M","5.194M","80.723B","2024-10-13 13:14:32"
"Stader ETHx USD","2,566.94","+13.41","+0.53%","305.766M","413,963","119,116","2024-10-13 13:14:32"
"Aleo USD","2.8148","-0.1703","-5.70%","302.753M","12.899M","107.559M","2024-10-13 13:14:32"
"MX Token USD","3.1000","+0.0020","+0.06%","302.868M","27.006M","97.699M","2024-10-13 13:14:32"
"Aevo USD","0.339589","-0.003225","-0.94%","299.445M","18.38M","881.788M","2024-10-13 13:14:32"
"Manta Network USD","0.786908","+0.016851","+2.19%","298.273M","29.455M","379.045M","2024-10-13 13:14:32"
"swETH USD","2,636.16","+8.81","+0.34%","294.918M","2.59M","111,874","2024-10-13 13:14:32"
"JUST USD","0.029771","-0.000480","-1.59%","294.736M","14.861M","9.9B","2024-10-13 13:14:32"
"Echelon Prime USD","8.2269","-0.0123","-0.15%","294.306M","5.059M","35.774M","2024-10-13 13:14:32"
"Apu Apustaja USD","0.000917","+0.000106","+13.09%","292.501M","15.182M","318.911B","2024-10-13 13:14:32"
"VerusCoin USD","3.7288","+0.5576","+17.58%","289.056M","88,920","77.521M","2024-10-13 13:14:33"
"Kusama USD","18.25","-0.39","-2.10%","284.321M","11.566M","15.583M","2024-10-13 13:14:33"
"Dash USD","23.71","-0.31","-1.30%","284.105M","25.899M","11.981M","2024-10-13 13:14:33"
"tBTC USD","62,644.52","-253.44","-0.40%","281.542M","1.566M","4,494","2024-10-13 13:14:33"
"Zilliqa USD","0.014700","-0.000158","-1.06%","279.679M","9.239M","19.026B","2024-10-13 13:14:33"
"Gas USD","4.2908","-0.1443","-3.25%","278.872M","16.636M","64.992M","2024-10-13 13:14:33"
"ether.fi USD","1.4665","-0.0355","-2.37%","278.702M","48.105M","190.052M","2024-10-13 13:14:33"
"aelf USD","0.378121","-0.001059","-0.28%","277.367M","2.79M","733.539M","2024-10-13 13:14:33"
"SPACE ID USD","0.371104","-0.002766","-0.74%","277.514M","7.807M","747.805M","2024-10-13 13:14:33"
"BENQI Liquid Staked AVAX USD","34.02","+0.48","+1.44%","276.911M","1.977M","8.139M","2024-10-13 13:14:33"
"Siacoin USD","0.004760","-0.000113","-2.32%","274.842M","2.538M","57.74B","2024-10-13 13:14:33"
"ZetaChain USD","0.598281","+0.010492","+1.78%","274.966M","32.225M","459.594M","2024-10-13 13:14:33"
"0x Protocol USD","0.323569","-0.001699","-0.52%","274.515M","9.96M","848.397M","2024-10-13 13:14:33"
"Non-Playable Coin USD","0.037942","+0.001901","+5.28%","275.071M","9.285M","7.25B","2024-10-13 13:14:33"
"Altlayer USD","0.119370","-0.002924","-2.39%","272.459M","25.687M","2.282B","2024-10-13 13:14:33"
"Holo USD","0.001566","-0.000048","-2.97%","272.438M","7.928M","173.925B","2024-10-13 13:14:33"
"BinaryX USD","0.723288","+0.006094","+0.85%","270.199M","28.799M","373.57M","2024-10-13 13:14:33"
"Orbler USD","0.265772","+0.007662","+2.97%","269.915M","67,109","1.016B","2024-10-13 13:14:33"
"Saga USD","2.6055","-0.0878","-3.26%","270.571M","72.03M","103.844M","2024-10-13 13:14:33"
"Aragon USD","6.2057","-0.0160","-0.26%","268.033M","43,701","43.192M","2024-10-13 13:14:33"
"Hamster Kombat USD","0.004164","-0.000106","-2.48%","268.065M","51.047M","64.375B","2024-10-13 13:14:33"
"Ankr USD","0.026762","-0.000150","-0.56%","267.616M","5.497M","10B","2024-10-13 13:14:33"
"Enjin Coin USD","0.150574","-0.003382","-2.20%","265.267M","8.623M","1.762B","2024-10-13 13:14:33"
"Venus BTC USD","1,274.63","-6.47","-0.51%","262.365M","658.138M","205,836","2024-10-13 13:14:33"
"Qtum USD","2.4787","-0.0648","-2.55%","261.145M","23.519M","105.355M","2024-10-13 13:14:33"
"BlazeStake Staked SOL USD","171.17","+0.70","+0.41%","260.796M","10.358M","1.524M","2024-10-13 13:14:34"
"Basic Attention Token USD","0.173385","-0.002456","-1.40%","259.324M","6.679M","1.496B","2024-10-13 13:14:34"
"Terra USD","0.360972","-0.005435","-1.48%","256.285M","18.808M","709.984M","2024-10-13 13:14:34"
"Jito USD","1.9791","+0.0006","+0.03%","252.477M","20.041M","127.571M","2024-10-13 13:14:34"
"Osaka Protocol USD","0.00000033","-0.00000002","-6.92%","249.276M","877,559","750.87T","2024-10-13 13:14:34"
"Liquid Staked ETH USD","2,601.72","+8.50","+0.33%","250.213M","18,364","96,172","2024-10-13 13:14:34"
"Beacon ETH USD","2,459.70","+11.76","+0.48%","248.363M","718,242","100,973","2024-10-13 13:14:34"
"Lista Staked BNB USD","584.67","-2.46","-0.42%","247.672M","568,340","423,606","2024-10-13 13:14:34"
"Meta Games Coin USD","0.221592","+0.002190","+1.00%","243.751M","47,018","1.1B","2024-10-13 13:14:34"
"Avail USD","0.134854","-0.000860","-0.63%","243.394M","2.658M","1.805B","2024-10-13 13:14:34"
"PepeCoin USD","2.0364","-0.0401","-1.93%","243.554M","2.938M","119.6M","2024-10-13 13:14:34"
