"Currency Name","Price","Change","Change %","Market Cap","Volume","Circulating Supply","Timestamp"
"Fisco Coin USD","0.149118","-0.006042","-3.89%","0","516","0","2024-10-13 13:23:04"
"Sqts (Ordinals) USD","0.00000000","+0.00000000","+7.68%","0","62","0","2024-10-13 13:23:04"
"IL CAPO OF CRYPTO USD","0.000091","+0.000002","+1.99%","0","3,865","0","2024-10-13 13:23:04"
"Mind Matrix USD","0.00000000","+0.00000000","+4.68%","0","17,196","0","2024-10-13 13:23:04"
"BYTZ USD","0.000289","0.000000","0.00%","0","124","0","2024-10-13 13:23:04"
"CULO USD","0.00000155","-0.00000003","-1.78%","0","2,963","0","2024-10-13 13:23:04"
"Venus BETH USD","50.59","+0.29","+0.58%","0","937,883","0","2024-10-13 13:23:04"
"QIE Blockchain USD","0.006168","+0.000065","+1.07%","0","84,784","0","2024-10-13 13:23:04"
"Fanton USD","0.011001","-0.000823","-6.96%","0","26,516","0","2024-10-13 13:23:04"
"Oxchange Finance USD","0.248560","-0.000293","-0.12%","0","39,658","0","2024-10-13 13:23:04"
"Kayserispor Token USD","0.138585","+0.001751","+1.28%","0","1,059","0","2024-10-13 13:23:04"
"AI USD","0.001074","+0.000652","+154.11%","0","1.212M","0","2024-10-13 13:23:04"
"GoldMint USD","0.026984","-0.030936","-53.41%","0","14","0","2024-10-13 13:23:04"
"Aperture Finance USD","0.005316","-0.000052","-0.97%","0","69,790","0","2024-10-13 13:23:04"
"SHIBU INU USD","0.00000000","+0.00000000","+0.09%","0","11","0","2024-10-13 13:23:04"
"PESHI USD","0.00000114","-0.00000000","-0.39%","0","32,347","0","2024-10-13 13:23:04"
"Hadeswap USD","0.041941","+0.000434","+1.05%","0","19,750","0","2024-10-13 13:23:04"
"bonkwifhat USD","0.000235","+0.000005","+2.26%","0","3,949","0","2024-10-13 13:23:04"
"Brett (TON) USD","0.00000235","-0.00000013","-5.35%","0","76","0","2024-10-13 13:23:04"
"A.I Genesis USD","1.9525","-0.0219","-1.11%","0","9,319","0","2024-10-13 13:23:04"
"Droggy USD","0.00000000","-0.00000000","-0.01%","0","2","0","2024-10-13 13:23:04"
"Feisty Doge NFT USD","0.000147","+0.000021","+16.31%","0","283,620","0","2024-10-13 13:23:04"
"RankerDAO USD","0.000301","-0.000006","-2.03%","0","2,895","0","2024-10-13 13:23:04"
"Onix USD","0.000627","-0.000004","-0.61%","0","2","0","2024-10-13 13:23:05"
"Lotty USD","0.00000022","-0.00000000","-0.02%","0","0","0","2024-10-13 13:23:05"
"Purrcoin USD","0.000041","+0.000000","+0.74%","0","21","0","2024-10-13 13:23:05"
"Sanko GameCorp USD","57.72","+12.20","+26.79%","0","594,055","0","2024-10-13 13:23:05"
"SEKAI GLORY USD","0.000715","-0.000008","-1.06%","0","769","0","2024-10-13 13:23:05"
"Xaurum USD","0.013171","-0.000076","-0.57%","0","516","0","2024-10-13 13:23:05"
"Dynamic Crypto Index USD","8,426.17","+25.27","+0.30%","0","89","0","2024-10-13 13:23:05"
"LunaChow USD","0.00000036","+0.00000000","+0.31%","0","0","0","2024-10-13 13:23:05"
"Rapids USD","0.001022","-0.000094","-8.38%","0","0","0","2024-10-13 13:23:05"
"PHRYGES USD","0.000010","-0.000001","-6.67%","0","732","0","2024-10-13 13:23:05"
"Cheeseball the Wizard USD","0.001417","-0.000689","-32.71%","0","842,752","0","2024-10-13 13:23:05"
"Enegra (EGX) USD","200.52","+0.12","+0.06%","0","367,241","0","2024-10-13 13:23:05"
"Hermes Protocol USD","0.000098","+0.000006","+6.87%","0","0","0","2024-10-13 13:23:05"
"DARKTIMES USD","0.026196","+0.000676","+2.65%","0","11,528","0","2024-10-13 13:23:05"
"MODEL-X-coin USD","0.004389","-0.000027","-0.61%","0","49","0","2024-10-13 13:23:05"
"FLOKI CEO USD","0.00000000","+0.00000000","+10.60%","0","13,971","0","2024-10-13 13:23:05"
"XT.com Token USD","4.6437","-0.0077","-0.17%","0","6.338M","0","2024-10-13 13:23:05"
"Baby Elon USD","0.00000000","+0.00000000","+84.93%","0","1.046M","0","2024-10-13 13:23:05"
"Quant AI USD","0.00000514","0.00000000","0.00%","0","39","0","2024-10-13 13:23:05"
"TENET USD","0.004554","-0.000007","-0.16%","0","1.116M","0","2024-10-13 13:23:05"
"World$tateCoin USD","0.000067","-0.000000","-0.01%","0","9","0","2024-10-13 13:23:05"
"Mantis USD","0.053922","-0.000328","-0.61%","0","0","0","2024-10-13 13:23:05"
"eosDAC USD","0.000267","-0.000022","-7.51%","0","2","0","2024-10-13 13:23:05"
"BitMinerX USD","0.008659","-0.000125","-1.42%","0","2,010","0","2024-10-13 13:23:05"
"TajCoin USD","0.000627","-0.000004","-0.61%","0","1","0","2024-10-13 13:23:05"
"Perproject USD","0.002088","-0.000008","-0.39%","0","56","0","2024-10-13 13:23:05"
"ELON DOGE USD","0.00000000","+0.00000000","+0.53%","0","12","0","2024-10-13 13:23:05"
"Bulei USD","0.00000045","-0.00000003","-6.35%","0","5,484","0","2024-10-13 13:23:05"
"VetMe USD","0.000775","-0.000015","-1.86%","0","2,220","0","2024-10-13 13:23:05"
"Swag Token USD","3.3178","-0.0003","-0.01%","0","730","0","2024-10-13 13:23:05"
"VectorChat.ai USD","0.101101","-0.005609","-5.26%","0","19,684","0","2024-10-13 13:23:06"
"WoofWork.io USD","0.000170","-0.000002","-0.97%","0","7,595","0","2024-10-13 13:23:06"
"SHIBONK USD","1.6289","-0.0369","-2.22%","0","7,773","0","2024-10-13 13:23:06"
"CRONK USD","0.00000013","+0.00000000","+1.12%","0","2","0","2024-10-13 13:23:06"
"Beauty Bakery Linked Operation Transaction Technology USD","0.006634","+0.000567","+9.34%","0","623","0","2024-10-13 13:23:06"
"Stats USD","0.004411","0.000000","0.00%","0","128","0","2024-10-13 13:23:06"
"Balls of Fate USD","0.012866","-0.000332","-2.51%","0","11,670","0","2024-10-13 13:23:06"
"Bird Dog USD","0.00000498","-0.00000022","-4.20%","0","36,335","0","2024-10-13 13:23:06"
"KITTY Sol USD","0.00000608","+0.00000026","+4.42%","0","2,005","0","2024-10-13 13:23:06"
"Neiro 2.0 USD","0.00000927","+0.00000045","+5.04%","0","64","0","2024-10-13 13:23:06"
"Universal ETH USD","2,635.38","+19.38","+0.74%","0","30,407","0","2024-10-13 13:23:06"
"FlareFoxInu USD","0.000014","-0.000000","-0.01%","0","3","0","2024-10-13 13:23:06"
"METAHUB FINANCE USD","0.091146","-0.004185","-4.39%","0","27,713","0","2024-10-13 13:23:06"
"Metapioneers USD","0.000160","-0.000000","-0.02%","0","73","0","2024-10-13 13:23:06"
"SUPER BONK USD","0.00000000","-0.00000000","-0.80%","0","9","0","2024-10-13 13:23:06"
"CheersLand USD","0.006057","-0.000058","-0.95%","0","8,934","0","2024-10-13 13:23:06"
"Sturdy USD","1.2950","+0.4630","+55.65%","0","921,383","0","2024-10-13 13:23:06"
"Best Patent USD","0.082235","+0.000008","+0.01%","0","269,409","0","2024-10-13 13:23:06"
"BUILD USD","0.00000228","-0.00000000","-0.13%","0","132,550","0","2024-10-13 13:23:06"
"META ARENA USD","0.002363","+0.000032","+1.35%","0","615","0","2024-10-13 13:23:06"
"BOB USD","0.113126","-0.004208","-3.59%","0","41,289","0","2024-10-13 13:23:06"
"KingXChain USD","0.000025","+0.000000","+0.34%","0","0","0","2024-10-13 13:23:06"
"Patex USD","1.0376","-0.0659","-5.98%","0","198,491","0","2024-10-13 13:23:06"
"Aura Network USD","0.013492","+0.000184","+1.39%","0","4,539","0","2024-10-13 13:23:06"
"Big Mike USD","0.004312","+0.000032","+0.74%","0","2,257","0","2024-10-13 13:23:06"
"BounceBit USD USD","0.996664","-0.000808","-0.08%","0","6,841","0","2024-10-13 13:23:06"
"WASSIE USD","0.00000491","-0.00000070","-12.43%","0","152,470","0","2024-10-13 13:23:06"
"NetZero USD","0.000415","-0.000004","-0.89%","0","65,738","0","2024-10-13 13:23:06"
"NMKR USD","0.000992","-0.000000","-0.01%","0","11","0","2024-10-13 13:23:06"
"Bit Hotel USD","0.000776","+0.000000","+0.01%","0","5","0","2024-10-13 13:23:06"
"Cool Cats MILK USD","0.000082","0.000000","0.00%","0","6","0","2024-10-13 13:23:06"
"Jared From Subway USD","0.00000024","+0.00000000","+0.00%","0","15","0","2024-10-13 13:23:07"
"PaintSwap USD","0.024520","-0.000029","-0.12%","0","21,545","0","2024-10-13 13:23:07"
"GROOVE USD","0.000363","-0.000050","-12.11%","0","5,847","0","2024-10-13 13:23:07"
"Dank USD","0.001030","+0.000294","+39.98%","0","9,096","0","2024-10-13 13:23:07"
"Plutus ARB USD","0.539567","+0.012625","+2.40%","0","972","0","2024-10-13 13:23:07"
"Ailey USD","0.188220","-0.001528","-0.81%","0","2,512","0","2024-10-13 13:23:07"
"XDAO USD","0.282695","-0.000422","-0.15%","0","207,826","0","2024-10-13 13:23:07"
"Grave USD","0.003316","-0.000046","-1.38%","0","15","0","2024-10-13 13:23:07"
"Justus USD","0.012543","0.000000","0.00%","0","75","0","2024-10-13 13:23:07"
"Agoric USD","0.042075","-0.001091","-2.53%","0","81,675","0","2024-10-13 13:23:07"
"Solo King USD","0.00000289","+0.00000004","+1.56%","0","862","0","2024-10-13 13:23:07"
"Class Coin USD","0.000032","+0.000000","+1.58%","0","13","0","2024-10-13 13:23:07"
"AmazingTeamDAO USD","1.1086","+0.0338","+3.15%","0","129","0","2024-10-13 13:23:07"
"Zenlink USD","0.01595","-0.00115","-6.74%","0","242","0","2024-10-13 13:23:07"
"AIA Chain USD","0.003082","+0.000496","+19.20%","0","124","0","2024-10-13 13:23:07"
"Scrooge USD","0.00000000","+0.00000000","+1.02%","0","2,575","0","2024-10-13 13:23:07"
"Indigo Protocol - iUSD USD","0.891202","-0.221443","-19.90%","0","37","0","2024-10-13 13:23:07"
"Smart Wallet Token USD","0.00000271","+0.00000024","+9.70%","0","1,097","0","2024-10-13 13:23:07"
"UPTOS USD","0.000092","+0.000034","+58.34%","0","543,653","0","2024-10-13 13:23:07"
"GreenTrust USD","0.00000000","-0.00000000","-1.01%","0","27","0","2024-10-13 13:23:07"
"Sunny on Tron USD","0.000145","+0.000003","+1.90%","0","79","0","2024-10-13 13:23:07"
"Greever USD","0.016883","+0.003892","+29.96%","0","50,381","0","2024-10-13 13:23:07"
"Krypton DAO USD","0.609774","-0.030050","-4.70%","0","1,724","0","2024-10-13 13:23:07"
"Maneki USD","0.000674","-0.000034","-4.83%","0","893","0","2024-10-13 13:23:07"
"GOLD USD","0.00000000","+0.00000000","+19.93%","0","479","0","2024-10-13 13:23:07"
"SHARBI USD","0.00000580","+0.00000005","+0.79%","0","8,083","0","2024-10-13 13:23:07"
"Selfie Cat USD","0.000319","+0.000300","+1,576.15%","0","484,050","0","2024-10-13 13:23:07"
"The Blue Dragon USD","0.00000000","+0.00000000","+1.47%","0","9","0","2024-10-13 13:23:07"
"Blue Guy USD","0.000026","+0.000001","+3.81%","0","20","0","2024-10-13 13:23:07"
"Gay Pepe USD","0.00000024","+0.00000000","+1.45%","0","5,523","0","2024-10-13 13:23:08"
"ENCOINS USD","0.204480","+0.001747","+0.86%","0","10","0","2024-10-13 13:23:08"
"Karus Starter USD","0.002120","+0.000003","+0.13%","0","28","0","2024-10-13 13:23:08"
"MoonKize USD","0.000017","+0.000000","+2.07%","0","82","0","2024-10-13 13:23:08"
"Usual Stablecoin USD","0.999910","-0.000683","-0.07%","0","1.766M","0","2024-10-13 13:23:08"
"Mobster USD","0.00000000","-0.00000000","-6.34%","0","1,679","0","2024-10-13 13:23:08"
"BNB SNAKE USD","0.00000000","-0.00000000","-1.71%","0","14","0","2024-10-13 13:23:08"
"XNODE USD","0.004326","-0.000026","-0.61%","0","5","0","2024-10-13 13:23:08"
"Save America USD","0.00000018","+0.00000000","+0.80%","0","3,847","0","2024-10-13 13:23:08"
"SUKUYANA USD","0.00000000","-0.00000000","-1.39%","0","266","0","2024-10-13 13:23:08"
"SANTA CHRISTMAS INU USD","0.00000000","-0.00000000","-0.71%","0","9","0","2024-10-13 13:23:08"
"Fist Trump Pump USD","3.7224","+1.0941","+41.63%","0","257,078","0","2024-10-13 13:23:08"
"BOOK OF NOTHING USD","0.00000635","0.00000000","0.00%","0","37","0","2024-10-13 13:23:08"
"Somdejcoin USD","0.024190","+0.000197","+0.82%","0","4","0","2024-10-13 13:23:08"
"Nikola Tesla Token USD","0.00000014","+0.00000000","+0.56%","0","25","0","2024-10-13 13:23:08"
"SAFEMOON SOLANA USD","0.000045","+0.000000","+0.95%","0","5","0","2024-10-13 13:23:08"
"Khaby Lame USD","0.000015","+0.000000","+1.15%","0","619","0","2024-10-13 13:23:08"
"Hank USD","0.000144","-0.000016","-9.85%","0","6,655","0","2024-10-13 13:23:08"
"Poof.cash USD","0.000021","0.000000","0.00%","0","0","0","2024-10-13 13:23:08"
"Ordify USD","0.079361","+0.005946","+8.10%","0","201,874","0","2024-10-13 13:23:08"
"MTMS Network USD","0.000217","+0.000008","+3.61%","0","9,801","0","2024-10-13 13:23:08"
"Shibnobi(New) USD","0.000049","-0.000000","-0.01%","0","27","0","2024-10-13 13:23:09"
"Raft USD","0.000281","-0.000026","-8.42%","0","105","0","2024-10-13 13:23:09"
"Meetin Token USD","0.000310","-0.000000","-0.01%","0","6","0","2024-10-13 13:23:09"
"Bit2Me USD","0.010162","-0.000001","-0.01%","0","4,425","0","2024-10-13 13:23:09"
"Let's Go Brandon Token USD","0.00000000","0.00000000","-0.00%","0","5","0","2024-10-13 13:23:09"
"XBorg USD","0.112958","+0.009174","+8.84%","0","287,424","0","2024-10-13 13:23:09"
"AI PIN USD","0.015018","+0.000003","+0.02%","0","949","0","2024-10-13 13:23:09"
"Costco Hot Dog USD","0.008134","-0.000458","-5.33%","0","831,311","0","2024-10-13 13:23:09"
"Dystopia USD","0.000014","0.000000","0.00%","0","11","0","2024-10-13 13:23:09"
"Aventa USD","0.000310","+0.000029","+10.23%","0","11,811","0","2024-10-13 13:23:09"
"XList USD","0.000140","-0.000000","-0.01%","0","3","0","2024-10-13 13:23:09"
"Nyxia AI USD","0.057989","+0.009290","+19.08%","0","112,547","0","2024-10-13 13:23:09"
"PeiPei (BSC) USD","0.00000000","-0.00000000","-2.33%","0","8,685","0","2024-10-13 13:23:09"
"PayNet Coin USD","0.517174","+0.000316","+0.06%","0","726,075","0","2024-10-13 13:23:09"
"FluidTokens USD","0.075168","-0.001424","-1.86%","0","87,080","0","2024-10-13 13:23:09"
"SokuSwap USD","0.00000422","+0.00000001","+0.21%","0","0","0","2024-10-13 13:23:09"
"governance ZIL USD","3.4307","-0.1154","-3.25%","0","1,619","0","2024-10-13 13:23:09"
"Stealth USD","0.029192","+0.000000","+0.00%","0","22","0","2024-10-13 13:23:09"
"BlackCoin USD","0.039513","-0.000197","-0.50%","0","6","0","2024-10-13 13:23:09"
"NftyPlay USD","0.000040","0.000000","0.00%","0","0","0","2024-10-13 13:23:09"
"PanoVerse USD","0.045230","-0.001449","-3.10%","0","23,684","0","2024-10-13 13:23:09"
"MATT USD","0.00000060","+0.00000001","+1.12%","0","94,191","0","2024-10-13 13:23:09"
"iVipCoin USD","0.000039","-0.000001","-2.21%","0","387","0","2024-10-13 13:23:09"
"UNIUM USD","7.0566","-0.0081","-0.11%","0","1.01M","0","2024-10-13 13:23:09"
"Sharky USD","0.028469","-0.001176","-3.97%","0","12,592","0","2024-10-13 13:23:09"
"CRAZY DRAGON USD","0.00000000","+0.00000000","+0.31%","0","11","0","2024-10-13 13:23:09"
"GogolCoin USD","0.001100","+0.000041","+3.86%","0","154","0","2024-10-13 13:23:09"
"HOBO UNIVERSE USD","0.000019","+0.000000","+1.45%","0","0","0","2024-10-13 13:23:09"
"Loopy USD","0.000013","-0.000001","-7.10%","0","28,670","0","2024-10-13 13:23:09"
"United Traders Token USD","0.002169","-0.000002","-0.10%","0","0","0","2024-10-13 13:23:09"
"TokenClub USD","0.000319","-0.000011","-3.22%","0","13","0","2024-10-13 13:23:09"
"DOGGY USD","0.00000000","-0.00000000","-4.70%","0","1,761","0","2024-10-13 13:23:10"
"Windfall Token USD","0.020193","-0.000002","-0.01%","0","1","0","2024-10-13 13:23:10"
"2G CARBON COIN USD","0.000381","-0.000005","-1.39%","0","0","0","2024-10-13 13:23:10"
"BitcoinX USD","0.000057","+0.000001","+1.06%","0","70,076","0","2024-10-13 13:23:10"
"Greenheart CBD USD","0.001227","+0.000027","+2.27%","0","0","0","2024-10-13 13:23:10"
"Moon Bay USD","0.050614","+0.002104","+4.34%","0","4,821","0","2024-10-13 13:23:10"
"Hanu Yokia USD","0.00000017","-0.00000000","-2.31%","0","336","0","2024-10-13 13:23:10"
"InsaneCoin USD","0.006270","-0.000038","-0.61%","0","5","0","2024-10-13 13:23:10"
"JPY Coin v1 USD","0.007092","+0.000035","+0.50%","0","5","0","2024-10-13 13:23:10"
"VAPE USD","0.248439","+0.001588","+0.64%","0","17","0","2024-10-13 13:23:10"
"MoonEdge USD","0.004176","+0.000035","+0.84%","0","120","0","2024-10-13 13:23:10"
"Hemera USD","0.000526","+0.000000","+0.04%","0","120","0","2024-10-13 13:23:23"
"Altbet USD","0.000063","-0.000000","-0.61%","0","3","0","2024-10-13 13:23:24"
"Stank Memes USD","0.00000000","-0.00000000","-12.08%","0","0","0","2024-10-13 13:23:24"
"Aurix USD","0.91418","-0.00366","-0.40%","0","89,594","0","2024-10-13 13:23:24"
"Vegas Inu Token USD","0.00000005","+0.00000000","+2.66%","0","191","0","2024-10-13 13:23:24"
"Aventis AI USD","0.013685","-0.001221","-8.19%","0","979","0","2024-10-13 13:23:24"
"Storepay USD","0.000061","+0.000002","+2.65%","0","12,484","0","2024-10-13 13:23:24"
"humanDAO USD","0.003425","+0.000037","+1.09%","0","6","0","2024-10-13 13:23:24"
"MetalSwap USD","0.015450","-0.000018","-0.12%","0","498","0","2024-10-13 13:23:24"
"BOME TRUMP USD","0.004107","+0.002821","+219.40%","0","1.354M","0","2024-10-13 13:23:24"
"TUBES USD","0.499872","-0.000303","-0.06%","0","1.379M","0","2024-10-13 13:23:24"
"Boe USD","0.000090","-0.000007","-7.59%","0","1,192","0","2024-10-13 13:23:24"
"Lovely Finance [Old] USD","0.00000832","+0.00000317","+61.72%","0","133,159","0","2024-10-13 13:23:24"
"Evrmore USD","0.000430","-0.000086","-16.68%","0","9","0","2024-10-13 13:23:24"
"Department Of Government Efficiency (doge.ong) USD","0.00000009","+0.00000001","+7.52%","0","303","0","2024-10-13 13:23:24"
"CodeXchain USD","0.001365","-0.000005","-0.36%","0","268,262","0","2024-10-13 13:23:24"
"Jogecodog USD","0.00000000","+0.00000000","+4.15%","0","25","0","2024-10-13 13:23:24"
"Bullions USD","30.43","-0.01","-0.04%","0","42,606","0","2024-10-13 13:23:24"
"Duet Protocol USD","0.000339","-0.000005","-1.59%","0","4","0","2024-10-13 13:23:24"
"POGAI USD","0.000019","-0.000001","-3.88%","0","25,110","0","2024-10-13 13:23:24"
"First Dog In Mars USD","0.00000012","+0.00000002","+23.32%","0","12,016","0","2024-10-13 13:23:24"
"Taylor Swift's Cat MEREDITH USD","0.000029","+0.000004","+14.27%","0","814","0","2024-10-13 13:23:24"
"Kabosu Inu USD","0.00000134","+0.00000020","+17.54%","0","25,254","0","2024-10-13 13:23:24"
"Vault Tech USD","0.004349","+0.000042","+0.97%","0","362","0","2024-10-13 13:23:24"
"Koi Finance USD","0.009859","-0.000350","-3.43%","0","58,460","0","2024-10-13 13:23:24"
"Ruby Currency USD","0.604753","-0.000080","-0.01%","0","9","0","2024-10-13 13:23:24"
"MYSTCL USD","93.93","+2.38","+2.60%","0","1,514","0","2024-10-13 13:23:24"
"Hokkaidu Inu USD","0.00000000","+0.00000000","+32.04%","0","21,945","0","2024-10-13 13:23:24"
"MYCE USD","0.001254","-0.000008","-0.60%","0","0","0","2024-10-13 13:23:24"
"Zyrri USD","0.002999","-0.000000","-0.01%","0","708","0","2024-10-13 13:23:24"
"ArbGPT USD","0.000025","-0.000000","-1.77%","0","139","0","2024-10-13 13:23:24"
"JOE USD","0.001154","+0.000014","+1.22%","0","69","0","2024-10-13 13:23:24"
"Stader MaticX USD","0.416024","-0.006240","-1.48%","0","3,300","0","2024-10-13 13:23:25"
"PSSYMONSTR USD","0.001125","-0.000142","-11.17%","0","3,795","0","2024-10-13 13:23:25"
"Work X USD","0.126576","-0.013868","-9.87%","0","322,010","0","2024-10-13 13:23:25"
"NADA Protocol Token USD","0.001169","-0.000045","-3.70%","0","2.811M","0","2024-10-13 13:23:25"
"Alpha5 USD","0.006019","+0.000014","+0.23%","0","9","0","2024-10-13 13:23:25"
"Monstock USD","0.00000787","-0.00000009","-1.13%","0","5","0","2024-10-13 13:23:25"
"Cramer Coin USD","0.000720","+0.000019","+2.74%","0","8,107","0","2024-10-13 13:23:25"
"Shinobi USD","0.001123","+0.000080","+7.65%","0","36,388","0","2024-10-13 13:23:25"
"ChatAI Token USD","0.001743","-0.000018","-1.01%","0","17,772","0","2024-10-13 13:23:25"
"Escroco Emerald USD","0.000025","+0.000000","+0.34%","0","102","0","2024-10-13 13:23:25"
"Ducky Duck USD","0.00000004","-0.00000000","-7.57%","0","579","0","2024-10-13 13:23:25"
"Ryoshi's Coin USD","0.00000971","-0.00000012","-1.25%","0","0","0","2024-10-13 13:23:25"
"Birddog (birddogtron.com) USD","0.000152","+0.000003","+1.83%","0","4,315","0","2024-10-13 13:23:25"
"Melos Studio USD","0.002574","+0.000151","+6.21%","0","187,475","0","2024-10-13 13:23:25"
"Tron cat USD","0.000455","+0.000002","+0.52%","0","141,814","0","2024-10-13 13:23:25"
"GIBX Swap USD","0.000531","-0.000000","-0.04%","0","1","0","2024-10-13 13:23:25"
"Evanesco Network USD","0.000520","+0.000001","+0.26%","0","9,193","0","2024-10-13 13:23:25"
"Krogan USD","0.000254","-0.000000","-0.02%","0","5","0","2024-10-13 13:23:25"
"Redacted USD","100.45","-0.43","-0.43%","0","100","0","2024-10-13 13:23:25"
"Unify USD","0.002508","-0.000015","-0.61%","0","1","0","2024-10-13 13:23:25"
"Lunarlens coin USD","0.009402","-0.002680","-22.18%","0","316,571","0","2024-10-13 13:23:25"
"SuperDapp USD","0.017204","-0.000741","-4.13%","0","3,425","0","2024-10-13 13:23:25"
"Uhive USD","0.000232","-0.000000","-0.01%","0","24","0","2024-10-13 13:23:25"
"DKEY BANK USD","0.018400","+0.006600","+55.93%","0","277","0","2024-10-13 13:23:25"
"Katchu Coin USD","0.003158","+0.000022","+0.70%","0","13,221","0","2024-10-13 13:23:25"
"CATALORIAN USD","0.00000000","-0.00000000","-8.45%","0","2,008","0","2024-10-13 13:23:25"
"Documentchain USD","0.000900","-0.000362","-28.69%","0","0","0","2024-10-13 13:23:25"
"Myra USD","0.001008","+0.000084","+9.07%","0","50,975","0","2024-10-13 13:23:25"
"UGOLD Inc. USD","2,760.82","+1.58","+0.06%","0","307,836","0","2024-10-13 13:23:26"
"based morning USD","0.00000920","+0.00000015","+1.64%","0","94","0","2024-10-13 13:23:26"
"SOL ETF USD","0.00000000","+0.00000000","+15.02%","0","3,806","0","2024-10-13 13:23:26"
"Shitcoin USD","0.00000001","-0.00000000","-0.11%","0","15","0","2024-10-13 13:23:26"
"Spartacus USD","30.45","0.00","0.00%","0","3","0","2024-10-13 13:23:26"
"SpreadCoin USD","0.000627","-0.000004","-0.61%","0","3","0","2024-10-13 13:23:26"
"HolyGrails.io USD","0.001513","+0.000017","+1.15%","0","105","0","2024-10-13 13:23:26"
"Biblical Truth USD","0.00000435","0.00000000","0.00%","0","245","0","2024-10-13 13:23:26"
"Mao USD","0.003174","-0.003213","-50.31%","0","1.299M","0","2024-10-13 13:23:26"
"Biao Coin USD","0.000076","-0.000008","-9.14%","0","70,851","0","2024-10-13 13:23:26"
"doginwotah USD","0.000031","+0.000000","+0.58%","0","27","0","2024-10-13 13:23:26"
"TABANK USD","0.029989","-0.000003","-0.01%","0","2","0","2024-10-13 13:23:26"
"SatoshiVM USD","0.631527","+0.002261","+0.36%","0","2.31M","0","2024-10-13 13:23:26"
"Baby Grok USD","0.00000000","+0.00000000","+37.35%","0","540,188","0","2024-10-13 13:23:26"
"Theresa May Coin USD","0.000627","-0.000004","-0.61%","0","11","0","2024-10-13 13:23:26"
"Aura BAL USD","6.1321","+0.1271","+2.12%","0","633","0","2024-10-13 13:23:26"
"Resistance Dog USD","0.300524","+0.002979","+1.00%","0","1.196M","0","2024-10-13 13:23:26"
"BLACKHOLE PROTOCOL USD","0.001113","-0.000009","-0.77%","0","76","0","2024-10-13 13:23:26"
"Tokenomy USD","0.025955","+0.000054","+0.21%","0","107","0","2024-10-13 13:23:26"
"eCredits USD","0.003542","+0.000065","+1.87%","0","1.525M","0","2024-10-13 13:23:26"
"BAREBEARS USD","0.000993","-0.000007","-0.73%","0","215","0","2024-10-13 13:23:26"
"Tigra USD","0.000351","-0.000017","-4.57%","0","3,192","0","2024-10-13 13:23:26"
"Rock USD","0.00000143","+0.00000004","+2.69%","0","127","0","2024-10-13 13:23:26"
"ordinex USD","0.00000071","+0.00000002","+3.21%","0","98","0","2024-10-13 13:23:26"
"Cyberpunk City USD","0.051765","-0.001345","-2.53%","0","12,880","0","2024-10-13 13:23:26"
"THORWallet USD","0.022788","-0.000282","-1.22%","0","66,789","0","2024-10-13 13:23:26"
"Nelore Coin USD","0.000406","+0.000014","+3.56%","0","199,437","0","2024-10-13 13:23:26"
"BetSwirl USD","0.000321","-0.000003","-0.77%","0","646","0","2024-10-13 13:23:26"
"AppleSwap USD","0.00000000","-0.00000000","-0.01%","0","1","0","2024-10-13 13:23:27"
"Defi Connect (new) USD","0.000072","0.000000","0.00%","0","4","0","2024-10-13 13:23:27"
"Lybra Finance USD","0.066337","-0.002141","-3.13%","0","403,423","0","2024-10-13 13:23:27"
"StarLink USD","0.000119","+0.000005","+4.79%","0","151","0","2024-10-13 13:23:27"
"ViCA Token USD","0.035597","-0.000527","-1.46%","0","12,417","0","2024-10-13 13:23:27"
"Animalia USD","0.003498","+0.000014","+0.41%","0","26","0","2024-10-13 13:23:27"
"Devikins USD","0.000263","-0.000005","-1.97%","0","976","0","2024-10-13 13:23:27"
"Cyber Crowd Chain USD","0.000775","-0.000055","-6.63%","0","660,970","0","2024-10-13 13:23:27"
"Parrot Protocol USD","0.000093","-0.000005","-5.10%","0","124","0","2024-10-13 13:23:27"
"Paragon USD","0.010765","-0.000609","-5.35%","0","439,226","0","2024-10-13 13:23:27"
"Kitsumon USD","0.00000790","0.00000000","0.00%","0","63","0","2024-10-13 13:23:27"
"JaiHo USD","0.001240","+0.000212","+20.67%","0","2,034","0","2024-10-13 13:23:27"
"Deebo the Bear USD","0.001059","+0.000116","+12.26%","0","105,987","0","2024-10-13 13:23:27"
"Potentiam USD","0.014426","-0.000083","-0.57%","0","6","0","2024-10-13 13:23:27"
"Lifinity USD","0.712274","-0.004610","-0.64%","0","72,939","0","2024-10-13 13:23:27"
"Neton USD","0.000053","-0.000010","-15.53%","0","1,158","0","2024-10-13 13:23:27"
"USN USD","0.977568","-0.000133","-0.01%","0","14","0","2024-10-13 13:23:27"
"Banana Tape Wall USD","0.003138","+0.000058","+1.87%","0","1.061M","0","2024-10-13 13:23:27"
"MindVerse USD","0.012535","+0.000113","+0.91%","0","34","0","2024-10-13 13:23:27"
"YoloCash USD","0.000388","-0.000002","-0.40%","0","5","0","2024-10-13 13:23:27"
"Green Blue Coin USD","0.452998","+0.001313","+0.29%","0","12,952","0","2024-10-13 13:23:27"
"FLAKY USD","0.00000039","+0.00000031","+375.41%","0","91,059","0","2024-10-13 13:23:27"
"XDoge Network USD","0.00000216","-0.00000001","-0.48%","0","68","0","2024-10-13 13:23:27"
